Image_ID,GT_Connected,GT_Branches,GT_Endpoints,UNetPP_Connected,UNetPP_Branches,UNetPP_Endpoints,DeepLabV3_Connected,DeepLabV3_Branches,DeepLabV3_Endpoints
501,18,18337,85,15,3211,59,4,730,33
502,19,15445,86,19,2756,67,11,859,43
503,20,20025,95,11,3940,50,7,936,36
504,23,16738,77,14,3084,53,6,712,28
505,26,14954,75,24,2355,63,9,727,39
506,23,19844,99,12,3640,76,3,1010,23
507,19,18558,111,14,3516,72,4,860,29
508,34,12979,102,21,2641,58,9,769,31
509,19,19182,74,15,3466,60,4,874,24
510,25,17045,93,14,3109,54,4,645,26
511,28,15636,75,21,2610,60,7,722,35
512,22,18923,92,12,3736,58,5,923,31
513,32,18563,73,12,2809,41,5,503,16
514,31,15288,100,23,2978,61,10,731,38
515,15,18905,75,16,3902,58,4,906,23
516,21,16399,71,19,2112,60,8,700,37
517,17,18067,73,9,3282,39,2,915,9
518,26,16518,77,16,3048,62,8,961,32
519,25,15806,89,21,2635,60,13,867,40
520,19,15285,95,12,3628,52,3,1080,15
521,15,15915,91,12,3423,64,7,962,45
522,14,13791,81,14,2580,59,8,782,37
523,24,15103,89,16,2579,57,10,922,36
524,24,15131,71,18,2175,59,10,735,38
525,26,17789,86,14,4601,61,3,1010,15
526,31,15411,123,17,3149,66,14,1143,49
527,34,15873,90,17,2164,63,10,780,39
528,14,13469,87,7,3435,54,4,1011,17
529,44,17348,162,14,2856,55,4,926,17
530,57,18113,112,14,3245,44,5,605,16
531,21,18441,111,11,2999,54,3,936,17
532,18,18905,83,14,3732,59,4,840,21
533,18,18037,90,9,2233,55,3,1041,14
534,23,17573,99,17,2870,70,3,1176,26
535,57,15432,129,20,3006,67,6,820,32
536,24,18577,91,13,2918,55,3,756,29
537,22,15441,103,15,2217,71,3,953,28
538,40,15053,128,16,3473,84,9,879,37
539,28,17712,106,17,2758,72,9,732,40
540,23,16933,85,12,3194,53,3,972,31
541,60,15951,134,16,2892,70,7,903,26
542,23,18533,76,15,2567,47,5,538,21
543,20,15760,103,14,2484,63,3,883,18
544,59,14169,151,20,2997,65,8,847,27
545,35,17771,98,17,2631,53,9,606,35
546,17,14520,82,16,2073,55,2,786,20
547,38,15796,98,20,2900,54,7,799,23
548,50,16170,112,22,2785,61,9,764,30
549,43,17003,135,27,3535,73,5,1038,28
550,49,17711,140,22,3632,70,13,683,46
551,31,13741,111,19,1804,53,22,625,49
552,47,15529,115,19,2519,58,5,547,24
553,43,14292,87,17,2351,36,7,723,18
554,50,16317,96,19,2542,60,11,597,28
555,37,17516,102,16,2970,62,2,652,16
556,17,14715,95,13,3528,70,4,1002,32
557,23,17001,90,13,3908,62,6,1076,33
558,14,15273,85,9,2960,49,5,838,23
559,24,15653,110,15,4041,73,4,1094,30
560,33,17581,124,23,3493,77,6,777,31
561,14,13247,83,15,2809,57,6,981,30
562,21,16705,95,19,3857,66,5,1011,29
563,33,16085,96,16,3453,71,7,997,34
564,34,14972,107,14,3469,57,13,883,52
565,20,15213,85,17,3549,63,4,923,27
566,13,17810,70,13,3956,47,7,1042,29
567,18,16748,88,12,4063,47,5,1284,24
568,34,13236,142,16,3226,70,14,863,56
569,20,14392,89,14,3456,55,7,807,27
570,18,16398,62,11,3776,46,6,848,22
571,18,18880,73,12,3520,51,5,1124,21
572,36,18565,106,20,3637,74,7,882,35
573,21,18861,92,13,4109,55,2,967,20
574,22,18026,69,14,2437,49,5,653,26
575,39,16962,127,19,3112,67,4,978,29
576,35,15277,123,18,3628,72,6,1005,39
577,19,16696,71,12,3956,50,6,860,26
578,10,17843,60,10,4247,48,5,1046,18
579,28,18572,88,21,4133,65,6,1292,31
580,61,15831,168,31,3567,86,12,908,48
581,23,17619,101,15,4041,52,3,971,38
582,13,17786,82,11,3712,44,4,1039,19
583,29,17661,97,14,4201,53,7,1188,34
584,15,13885,59,15,2510,44,2,743,21
585,13,13314,65,8,2956,39,1,894,5
586,17,15483,59,15,2819,42,4,734,29
587,12,15535,66,14,2598,45,6,1025,23
588,20,19739,76,12,3413,50,9,671,35
589,35,18732,98,20,3952,50,11,866,37
590,19,13819,66,17,2571,45,5,768,24
591,18,14035,77,19,2395,56,4,1006,19
592,21,15636,71,15,2583,47,9,761,37
593,25,16801,79,20,2934,62,8,1180,35
594,24,19608,97,14,4156,53,2,932,24
595,30,21216,96,12,3795,38,6,745,19
596,24,17607,98,19,3076,58,7,550,35
597,25,17244,98,16,2767,59,4,935,24
598,33,20492,100,19,2752,55,7,593,22
599,24,14146,106,19,2528,58,5,480,31
600,49,16966,144,19,3421,94,8,930,35
601,44,19081,161,18,2144,62,2,591,14
602,33,17390,109,15,2043,52,13,547,38
603,27,17507,104,12,2448,55,6,690,21
604,34,19916,83,17,3170,44,3,582,26
605,31,15201,94,16,2196,47,7,574,32
606,30,18532,96,18,2579,62,5,813,22
607,46,19398,121,22,3310,61,8,763,24
608,46,16269,126,15,2413,39,10,483,33
609,59,15905,180,23,3047,67,17,657,53
610,20,17026,83,18,3492,53,6,992,27
611,18,17808,71,12,3399,49,6,959,27
612,171,16046,321,29,2872,113,9,974,49
613,29,15679,88,17,2954,53,6,782,23
614,18,18539,75,12,3402,49,7,849,26
615,26,16712,83,16,2648,55,12,871,34
616,22,19152,84,16,2510,60,7,768,23
617,22,15776,86,19,2631,55,9,702,34
618,18,17564,72,14,2919,43,7,702,30
619,28,13386,72,21,1818,62,10,875,34
620,28,17998,82,17,3084,57,9,713,29
621,35,18695,74,14,3929,49,5,880,24
622,18,17384,113,10,3209,61,3,850,26
623,34,13795,146,24,3897,99,13,1387,42
624,26,18670,69,13,4071,48,4,843,19
625,12,19017,86,17,3322,63,5,705,25
626,33,16285,108,20,4027,88,9,1264,32
627,37,17453,119,14,3014,78,6,1101,30
628,34,18900,80,12,3263,45,5,753,23
629,29,17344,97,17,2612,63,3,741,23
630,32,14781,100,21,2549,67,9,731,32
631,31,18926,72,12,3529,48,3,708,18
632,33,17285,89,17,2807,60,3,563,25
633,33,16362,90,12,2860,53,8,704,26
634,42,14779,131,15,2541,64,6,705,29
635,63,13548,145,18,1641,61,6,622,37
636,54,15992,144,15,2241,70,8,804,39
637,79,17111,181,14,2170,68,6,787,29
