concentration,hour,n_eggs,networks_mean,networks_std,branches_mean,branches_std,endpoints_mean,endpoints_std
0.1ug,0h,8,13.38,5.12,2824.75,739.74,51.00,6.93
0.1ug,2h,5,13.60,2.65,2298.80,395.97,44.60,6.05
0.1ug,4h,4,14.50,4.72,2502.25,773.55,53.00,1.41
0.1ug,8h,3,11.33,1.25,2506.00,733.87,44.00,2.94
0.1ug,24h,1,4.00,0.00,5115.00,0.00,53.00,0.00
1ug,0h,17,9.53,4.34,2906.47,989.39,41.24,10.42
1ug,2h,12,10.83,3.53,2859.67,986.11,47.75,7.34
1ug,4h,10,12.30,3.74,2458.00,1021.17,44.40,6.71
1ug,8h,8,11.25,3.34,2450.38,842.00,39.12,7.99
1ug,24h,3,12.67,3.68,2461.33,509.16,51.00,4.32
10ug,0h,12,12.00,4.00,2765.33,1442.68,44.25,13.50
10ug,2h,9,10.33,3.56,3161.67,1390.59,46.67,10.62
10ug,4h,7,11.14,3.14,2560.86,662.14,47.71,10.28
10ug,8h,6,16.33,3.77,2626.67,632.51,48.67,9.39
10ug,24h,1,18.00,0.00,1523.00,0.00,59.00,0.00
control,0h,7,11.14,3.94,2207.29,849.19,44.14,10.26
control,2h,3,13.67,0.94,2345.33,793.97,44.33,4.78
control,4h,3,10.00,4.32,2222.33,230.91,46.00,12.68
control,8h,3,14.67,1.70,2931.67,473.54,64.33,11.15
control,24h,2,16.00,2.00,2545.50,95.50,48.50,3.50
