filename,split,concentration,hour,mse,original_path
100_RGB.jpg,train,croppedcontrol,2,60.626708984375,D:\gs\angiogenesis data\SN4\cropped\cropped control\2\2hr1.tif
101_RGB.jpg,train,10ug,24,71.255859375,D:\gs\angiogenesis data\SN3\cropped\10ug\2\1\24hr.tif
102_RGB.jpg,train,10ug,8,62.7734375,D:\gs\angiogenesis data\SN3\cropped\10ug\2\1\8hr.tif
103_RGB.jpg,train,10ug,4,64.838623046875,D:\gs\angiogenesis data\SN4\cropped\10 ug\1\1\4hr.tif
104_RGB.jpg,train,10ug,4,69.06103515625,D:\gs\angiogenesis data\SN2\cropped\10ug\1\1\4hr.tif
105_RGB.jpg,train,0.1ug,24,65.85205078125,D:\gs\angiogenesis data\SN3\cropped\0.1ug\2\2\24hr.tif
106_RGB.jpg,train,1ug,4,85.562255859375,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2\4hr.tif
107_RGB.jpg,train,0.1ug,2,56.799560546875,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder\2hr.tif
108_RGB.jpg,train,10ug,0,72.015869140625,D:\gs\angiogenesis data\SN2\cropped\10ug\3\1\0hr.tif
109_RGB.jpg,train,control,24,61.916015625,D:\gs\angiogenesis data\SN1\cropped\control\2\24hr.tif
10_RGB.jpg,train,1ug,0,51.832763671875,D:\gs\angiogenesis data\SN4\cropped\1ug\1\3\0hr.tif
110_RGB.jpg,train,0.1ug,24,78.484130859375,D:\gs\angiogenesis data\SN1\cropped\0.1ug\2\2\24hr.tif
111_RGB.jpg,train,1ug,8,59.134765625,D:\gs\angiogenesis data\SN4\cropped\1ug\2\1\8hr.tif
112_RGB.jpg,train,1ug,8,59.423583984375,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1\8hr.tif
113_RGB.jpg,train,1ug,0,70.30126953125,D:\gs\angiogenesis data\SN4\cropped\1ug\2\2\0hr.tif
