filename,network_count,branch_points,end_points
100_RGB.jpg,13,3244,40
101_RGB.jpg,18,1523,59
102_RGB.jpg,12,3079,42
103_RGB.jpg,21,2763,61
104_RGB.jpg,16,2877,58
105_RGB.jpg,25,2105,75
106_RGB.jpg,13,3102,33
107_RGB.jpg,18,1612,54
108_RGB.jpg,15,2543,50
109_RGB.jpg,18,1933,55
10_RGB.jpg,16,3268,57
110_RGB.jpg,8,3476,37
111_RGB.jpg,16,2111,50
112_RGB.jpg,10,1259,39
113_RGB.jpg,7,3484,46
114_RGB.jpg,16,1849,55
115_RGB.jpg,9,3328,54
116_RGB.jpg,17,2251,49
117_RGB.jpg,7,1018,38
118_RGB.jpg,7,3573,55
119_RGB.jpg,18,2167,56
11_RGB.jpg,7,3853,45
120_RGB.jpg,16,2169,41
121_RGB.jpg,9,2440,37
122_RGB.jpg,7,2141,43
123_RGB.jpg,15,2005,48
124_RGB.jpg,9,3418,45
125_RGB.jpg,10,2357,45
126_RGB.jpg,6,4308,45
127_RGB.jpg,8,947,42
128_RGB.jpg,14,2040,47
129_RGB.jpg,11,3075,52
12_RGB.jpg,7,4375,55
130_RGB.jpg,13,2041,38
131_RGB.jpg,9,1877,37
132_RGB.jpg,11,1185,45
133_RGB.jpg,15,2828,55
134_RGB.jpg,14,2153,33
135_RGB.jpg,17,2265,45
136_RGB.jpg,7,4220,39
137_RGB.jpg,7,2028,42
138_RGB.jpg,3,2804,26
139_RGB.jpg,9,2076,30
13_RGB.jpg,22,1604,64
140_RGB.jpg,10,1315,37
141_RGB.jpg,8,3109,49
142_RGB.jpg,14,2330,58
143_RGB.jpg,12,2430,43
144_RGB.jpg,15,1563,42
145_RGB.jpg,11,2534,46
146_RGB.jpg,13,1594,38
147_RGB.jpg,14,1679,40
148_RGB.jpg,5,4907,30
149_RGB.jpg,12,1707,40
14_RGB.jpg,8,2600,39
150_RGB.jpg,3,5216,25
151_RGB.jpg,17,2657,56
152_RGB.jpg,5,3866,47
153_RGB.jpg,12,1556,41
154_RGB.jpg,2,4841,21
155_RGB.jpg,15,2109,42
156_RGB.jpg,7,5448,41
157_RGB.jpg,15,2278,56
158_RGB.jpg,16,1394,49
159_RGB.jpg,13,1598,45
15_RGB.jpg,7,3687,63
160_RGB.jpg,10,1537,44
161_RGB.jpg,15,2767,52
162_RGB.jpg,18,1023,48
163_RGB.jpg,17,1714,44
164_RGB.jpg,10,2218,38
165_RGB.jpg,10,3090,46
166_RGB.jpg,21,1605,51
167_RGB.jpg,13,2479,51
168_RGB.jpg,10,2144,42
169_RGB.jpg,16,2501,55
16_RGB.jpg,5,4821,29
170_RGB.jpg,17,1704,47
171_RGB.jpg,14,2450,45
172_RGB.jpg,11,2619,45
173_RGB.jpg,14,2888,65
