concentration,egg_id,hour,network_count,branch_points,end_points,dataset_image,original_path,mse
0.1ug,D:\gs\angiogenesis data\SN1\cropped\0.1ug\1\2,0,11,3939,40,566_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\0.1ug\1\2\0hr.tif,72.86
0.1ug,D:\gs\angiogenesis data\SN1\cropped\0.1ug\2\2,0,10,2269,48,83_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\0.1ug\2\2\0hr.tif,57.76
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\1\2,0,26,1588,63,9_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\1\2\0hr.tif,57.60
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1,0,15,2576,54,523_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\0hr.tif,51.76
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1,2,13,2520,42,238_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\2hr.tif,58.50
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder,0,9,3845,52,229_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder\0hr.tif,68.93
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder,2,18,1612,54,107_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder\2hr.tif,56.80
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder,4,19,1591,55,99_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder\4hr.tif,56.90
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder,8,10,2220,40,61_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\1\New folder\8hr.tif,58.92
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2,0,11,2437,43,574_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2\0hr.tif,49.18
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2,2,15,2512,48,552_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2\2hr.tif,53.40
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2,4,14,3084,53,504_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2\4hr.tif,59.79
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2,8,11,3513,47,571_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\2\2\8hr.tif,54.77
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2,0,11,2997,51,544_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2\0hr.tif,69.46
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2,2,11,2120,43,435_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2\2hr.tif,69.49
0.1ug,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2,4,7,3432,53,528_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\0.1ug\3\2\4hr.tif,58.57
0.1ug,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1,0,14,2947,57,76_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1\0hr.tif,63.57
0.1ug,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1,2,11,2730,36,353_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1\2hr.tif,57.67
0.1ug,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1,4,18,1902,51,296_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1\4hr.tif,65.91
0.1ug,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1,8,13,1785,45,313_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1\8hr.tif,62.12
0.1ug,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1,24,4,5115,53,334_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\0.1ug\3\1\24hr.tif,54.06
1ug,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1,0,8,1225,33,20_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1\0hr.tif,55.36
1ug,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1,2,8,3000,32,352_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1\2hr.tif,45.70
1ug,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1,4,17,1469,52,243_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1\4hr.tif,64.11
1ug,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1,8,15,2282,47,411_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\1ug\2\1\8hr.tif,54.40
1ug,D:\gs\angiogenesis data\SN1\cropped\1ug\3,0,3,2804,26,138_RGB.jpg,D:\gs\angiogenesis data\SN1\cropped\1ug\3\0hr.tif,86.63
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\1\1,0,12,2039,47,602_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\1\1\0hr.tif,63.03
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1,0,16,1987,45,438_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1\0hr.tif,55.05
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1,2,13,2042,54,426_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1\2hr.tif,70.77
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1,4,10,2144,42,168_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\2\1\4hr.tif,59.52
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\2\2,0,10,4133,55,425_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\2\2\0hr.tif,55.41
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2,0,11,3263,43,628_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2\0h.tif,50.62
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2,2,15,2278,56,157_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2\2hr.tif,49.62
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2,4,12,4071,46,624_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2\4hr.tif,49.47
1ug,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2,8,15,2767,52,161_RGB.jpg,D:\gs\angiogenesis data\SN2\cropped\1ug\3\2\8hr.tif,61.02
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2,0,8,2454,32,218_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2\0hr.tif,55.29
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2,2,8,2266,40,224_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2\2hr.tif,58.97
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2,4,10,2251,48,226_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\1\2\4hr.tif,55.19
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2,0,10,3090,46,165_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2\0hr.tif,53.31
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2,2,15,2005,48,123_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2\2hr.tif,60.33
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2,4,17,1413,53,338_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2\4hr.tif,61.43
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2,8,12,1857,43,323_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2\8hr.tif,52.92
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2,24,13,1865,47,174_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\2\2\24hr.tif,53.43
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\3\2,0,17,1594,54,41_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\3\2\0hr.tif,55.32
1ug,D:\gs\angiogenesis data\SN3\cropped\1ug\3\2,2,10,2682,47,40_RGB.jpg,D:\gs\angiogenesis data\SN3\cropped\1ug\3\2\2hr.tif,55.03
