Image_ID,UNetPP_Dice,UNetPP_IoU,UNetPP_Precision,UNetPP_Recall,DeepLabV3_Dice,DeepLabV3_IoU,DeepLabV3_Precision,DeepLabV3_Recall
501,0.909529,0.834070,0.874380,0.947623,0.906436,0.828882,0.851176,0.969369
502,0.921755,0.854865,0.894781,0.950405,0.914976,0.843278,0.868829,0.966301
503,0.913360,0.840536,0.876879,0.953008,0.908764,0.832785,0.852649,0.972786
504,0.913599,0.840940,0.882559,0.946900,0.910782,0.836180,0.860977,0.966704
505,0.928426,0.866412,0.901328,0.957203,0.921650,0.854686,0.878559,0.969186
506,0.907790,0.831150,0.868147,0.951227,0.903123,0.823359,0.843097,0.972352
507,0.906385,0.828797,0.870068,0.945866,0.902869,0.822936,0.847675,0.965751
508,0.929068,0.867532,0.905332,0.954082,0.920184,0.852167,0.878439,0.966094
509,0.922696,0.856487,0.890878,0.956872,0.917477,0.847537,0.866667,0.974617
510,0.915094,0.843478,0.883756,0.948737,0.912886,0.839734,0.863481,0.968288
511,0.927617,0.865006,0.900498,0.956421,0.921297,0.854078,0.874849,0.972952
512,0.916128,0.845237,0.884073,0.950596,0.911736,0.837789,0.857985,0.972671
513,0.916903,0.846557,0.881198,0.955624,0.915663,0.844445,0.863791,0.974163
514,0.922265,0.855743,0.894018,0.952354,0.914073,0.841744,0.864151,0.970116
515,0.918075,0.848557,0.883670,0.955268,0.910597,0.835868,0.856946,0.971415
516,0.927817,0.865354,0.896790,0.961068,0.922482,0.856118,0.876921,0.973037
517,0.913377,0.840564,0.882952,0.945973,0.907379,0.830461,0.851001,0.971757
518,0.924123,0.858948,0.894143,0.956183,0.916719,0.846244,0.870000,0.968741
519,0.917661,0.847850,0.887394,0.950066,0.908799,0.832843,0.860408,0.962957
520,0.911476,0.837351,0.886115,0.938332,0.903583,0.824124,0.850275,0.964022
521,0.918761,0.849730,0.889981,0.949465,0.910473,0.835660,0.858830,0.968725
522,0.927566,0.864916,0.899936,0.956945,0.921960,0.855218,0.876505,0.972387
523,0.931252,0.871349,0.904822,0.959273,0.924684,0.859918,0.884919,0.968191
524,0.929090,0.867570,0.902465,0.957333,0.922744,0.856569,0.877537,0.972862
525,0.894913,0.809812,0.863969,0.928156,0.885115,0.793907,0.814189,0.969577
526,0.920087,0.852001,0.891543,0.950519,0.912154,0.838495,0.865150,0.964558
527,0.923068,0.857128,0.893572,0.954578,0.914823,0.843017,0.868068,0.966901
528,0.916899,0.846551,0.896232,0.938542,0.907470,0.830613,0.856468,0.964930
529,0.910454,0.835627,0.873145,0.951094,0.903496,0.823979,0.841901,0.974815
530,0.915157,0.843584,0.883567,0.949089,0.910524,0.835746,0.856012,0.972452
531,0.914036,0.841681,0.877393,0.953873,0.908219,0.831869,0.850800,0.973948
532,0.909244,0.833591,0.873937,0.947524,0.903862,0.824587,0.847288,0.968530
533,0.921477,0.854387,0.886595,0.959215,0.914421,0.842336,0.856232,0.981097
534,0.914509,0.842484,0.885151,0.945881,0.907304,0.830336,0.858309,0.962232
535,0.917332,0.847288,0.889197,0.947305,0.912360,0.838845,0.862077,0.968873
536,0.917828,0.848135,0.883020,0.955493,0.913435,0.840662,0.859998,0.973952
537,0.925899,0.862021,0.897333,0.956342,0.919451,0.850911,0.873042,0.971071
538,0.911710,0.837746,0.883437,0.941853,0.903139,0.823384,0.850315,0.962960
539,0.914553,0.842560,0.875573,0.957166,0.905878,0.827949,0.845973,0.974912
540,0.911125,0.836758,0.873705,0.951894,0.900992,0.819823,0.838896,0.973015
541,0.912182,0.838542,0.881738,0.944802,0.902473,0.822278,0.847368,0.965243
542,0.924670,0.859894,0.886702,0.966036,0.920504,0.852716,0.868430,0.979221
543,0.924274,0.859210,0.894449,0.956157,0.915435,0.844058,0.865870,0.971019
544,0.916089,0.845169,0.890308,0.943407,0.909387,0.833831,0.862177,0.962067
545,0.914927,0.843193,0.880257,0.952439,0.909643,0.834262,0.858965,0.966676
546,0.929662,0.868569,0.900425,0.960862,0.922932,0.856894,0.875881,0.975326
547,0.932929,0.874290,0.905392,0.962195,0.925962,0.862131,0.881950,0.974597
548,0.920325,0.852410,0.893234,0.949111,0.918089,0.848581,0.874072,0.966775
549,0.923231,0.857408,0.894431,0.953947,0.913214,0.840288,0.866258,0.965552
550,0.912214,0.838596,0.880568,0.946219,0.908062,0.831605,0.855978,0.966895
551,0.941740,0.889894,0.918723,0.965939,0.934705,0.877414,0.897681,0.974914
552,0.930045,0.869237,0.904934,0.956588,0.927084,0.864079,0.885539,0.972719
553,0.945620,0.896849,0.923319,0.969025,0.940218,0.887181,0.903914,0.979561
554,0.928660,0.866820,0.902390,0.956504,0.926446,0.862972,0.883882,0.973318
555,0.927640,0.865046,0.897419,0.959968,0.913972,0.841574,0.846477,0.993164
556,0.918320,0.848976,0.894763,0.943152,0.913907,0.841463,0.868569,0.964239
557,0.912402,0.838914,0.882825,0.944028,0.907836,0.831227,0.856483,0.965741
558,0.924147,0.858991,0.898225,0.951610,0.920513,0.852732,0.877609,0.967828
559,0.912325,0.838784,0.886468,0.939736,0.907128,0.830040,0.856687,0.963880
560,0.910958,0.836477,0.877755,0.946772,0.906415,0.828847,0.848691,0.972563
561,0.928704,0.866898,0.907567,0.950849,0.924142,0.858982,0.882685,0.969686
562,0.914118,0.841821,0.884598,0.945677,0.912676,0.839378,0.862810,0.968660
563,0.913921,0.841486,0.883062,0.947014,0.910759,0.836141,0.860148,0.967698
564,0.922848,0.856748,0.897688,0.949459,0.917145,0.846969,0.872164,0.967017
565,0.921699,0.854769,0.895773,0.949170,0.916735,0.846270,0.869522,0.969369
566,0.912055,0.838328,0.880798,0.945611,0.908063,0.831608,0.856886,0.965741
567,0.912253,0.838663,0.884245,0.942093,0.906715,0.829349,0.857899,0.961421
568,0.927062,0.864041,0.905125,0.950090,0.920773,0.853178,0.880953,0.964364
569,0.924360,0.859358,0.898424,0.951839,0.918492,0.849270,0.872020,0.970197
570,0.925492,0.861317,0.899319,0.953234,0.921584,0.854572,0.875917,0.972275
571,0.911909,0.838081,0.878573,0.947873,0.903848,0.824564,0.850612,0.964192
572,0.908278,0.831968,0.874140,0.945190,0.904818,0.826181,0.850549,0.966484
573,0.910797,0.836204,0.876954,0.947356,0.905686,0.827629,0.846371,0.973941
574,0.922533,0.856205,0.888695,0.959049,0.919966,0.851793,0.870957,0.974818
575,0.914557,0.842566,0.886349,0.944619,0.906517,0.829019,0.858928,0.959690
576,0.915467,0.844112,0.889016,0.943540,0.911933,0.838121,0.865944,0.963080
577,0.914434,0.842356,0.884710,0.946224,0.910065,0.834972,0.856116,0.971270
578,0.917485,0.847549,0.887573,0.949483,0.910518,0.835734,0.858464,0.969290
579,0.906572,0.829110,0.875081,0.940415,0.901675,0.820955,0.849135,0.961145
580,0.912411,0.838930,0.885714,0.940767,0.907196,0.830154,0.859799,0.960124
581,0.908546,0.832418,0.875645,0.944016,0.903239,0.823552,0.847209,0.967206
582,0.915906,0.844858,0.885290,0.948715,0.911024,0.836588,0.860933,0.967305
583,0.908542,0.832412,0.879319,0.939775,0.901441,0.820567,0.848717,0.961149
584,0.944500,0.894837,0.922728,0.967326,0.936864,0.881227,0.902110,0.974404
585,0.947818,0.900812,0.926790,0.969822,0.934159,0.876452,0.880315,0.995018
586,0.938886,0.884811,0.910908,0.968636,0.929813,0.868832,0.891390,0.971697
587,0.941779,0.889965,0.916187,0.968843,0.932172,0.872960,0.895755,0.971675
588,0.917018,0.846753,0.876559,0.961393,0.911792,0.837883,0.856268,0.975016
589,0.917894,0.848248,0.880376,0.958752,0.910857,0.836307,0.857051,0.971872
590,0.945283,0.896243,0.922367,0.969366,0.937760,0.882813,0.903677,0.974514
591,0.945804,0.897181,0.922137,0.970719,0.935797,0.879340,0.894772,0.980764
592,0.940431,0.887560,0.912354,0.970291,0.933565,0.875407,0.896410,0.973933
593,0.933283,0.874911,0.902818,0.965875,0.924146,0.858989,0.883803,0.968350
594,0.899598,0.817518,0.864492,0.937676,0.899175,0.816819,0.840358,0.966845
595,0.912051,0.838322,0.874929,0.952463,0.910043,0.834935,0.855468,0.972056
596,0.922628,0.856369,0.890940,0.956653,0.919588,0.851146,0.874676,0.969362
597,0.910729,0.836090,0.877703,0.946337,0.906545,0.829064,0.852595,0.967783
598,0.917865,0.848197,0.882111,0.956638,0.915455,0.844092,0.864941,0.972235
599,0.936502,0.880586,0.914236,0.959879,0.934135,0.876410,0.895812,0.975883
600,0.904225,0.825192,0.872990,0.937778,0.897595,0.814215,0.842040,0.960998
601,0.917686,0.847892,0.883806,0.954266,0.912368,0.838858,0.860528,0.970855
602,0.921670,0.854719,0.890678,0.954895,0.920628,0.852929,0.875855,0.970224
603,0.916545,0.845946,0.885913,0.949370,0.914134,0.841849,0.867198,0.966443
604,0.918659,0.849555,0.883193,0.957092,0.916527,0.845916,0.866354,0.972868
605,0.933674,0.875600,0.908431,0.960360,0.931147,0.871165,0.893096,0.972585
606,0.908505,0.832349,0.873912,0.945949,0.905762,0.827756,0.853297,0.965101
607,0.912078,0.838368,0.877591,0.949387,0.909969,0.834811,0.857143,0.969735
608,0.932186,0.872986,0.904202,0.961958,0.929263,0.867872,0.887174,0.975544
609,0.912855,0.839681,0.885277,0.942207,0.909273,0.833640,0.860636,0.963737
610,0.915981,0.844986,0.886092,0.947957,0.911281,0.837021,0.861940,0.966614
611,0.914278,0.842093,0.883099,0.947740,0.912578,0.839212,0.860983,0.970751
612,0.895956,0.811522,0.875653,0.917223,0.889273,0.800623,0.840835,0.943633
613,0.923017,0.857040,0.896995,0.950595,0.918006,0.848439,0.870273,0.971279
614,0.915733,0.844564,0.881707,0.952490,0.913575,0.840900,0.858895,0.975690
615,0.919658,0.851266,0.887415,0.954333,0.912394,0.838901,0.864062,0.966453
616,0.914577,0.842599,0.877259,0.955211,0.910141,0.835099,0.854522,0.973504
617,0.924863,0.860227,0.895398,0.956332,0.921118,0.853772,0.873824,0.973826
618,0.921597,0.854595,0.890184,0.955309,0.919150,0.850395,0.866211,0.978981
619,0.933605,0.875478,0.910303,0.958131,0.926938,0.863826,0.884768,0.973330
620,0.919698,0.851333,0.886618,0.955341,0.915891,0.844833,0.863291,0.975317
621,0.906311,0.828674,0.873615,0.941551,0.901411,0.820517,0.843067,0.968431
