concentration,hour,sample_size,networks_mean,networks_std,branches_mean,branches_std,endpoints_mean,endpoints_std
control,0h,15,11.47,3.52,2279.53,814.91,52.27,15.64
control,2h,11,14.82,2.72,2917.27,761.50,54.00,8.82
control,4h,6,10.67,3.40,2538.00,578.08,45.50,11.79
control,8h,5,14.00,2.00,2724.00,476.45,63.20,16.17
control,24h,9,13.00,3.33,2864.22,791.19,48.11,5.04
0.1ug,0h,23,12.61,4.52,2667.83,781.62,46.43,9.46
0.1ug,2h,30,11.73,3.82,3033.93,1065.80,47.37,10.44
0.1ug,4h,31,11.74,4.60,2725.23,923.63,48.58,11.42
0.1ug,8h,18,10.78,3.58,2882.44,956.03,48.94,12.49
0.1ug,24h,22,12.50,5.08,2948.00,866.08,48.55,9.97
0.1ug,32h,2,13.00,2.00,2375.00,209.00,58.50,2.50
1ug,0h,77,11.57,3.96,2938.65,896.46,50.34,13.24
1ug,2h,46,11.65,3.73,2605.83,921.93,48.09,10.21
1ug,4h,45,12.67,3.13,2719.98,846.45,48.53,10.88
1ug,8h,52,11.94,3.21,2760.40,806.49,47.50,10.43
1ug,24h,25,13.60,4.34,2529.24,820.60,51.40,7.38
1ug,32h,2,7.50,1.50,2531.50,230.50,34.00,5.00
10ug,0h,49,11.49,4.20,3032.92,1211.44,50.02,13.81
10ug,2h,50,12.34,4.34,2625.70,1097.52,49.40,11.52
10ug,4h,42,12.50,4.38,2675.95,756.63,49.62,11.40
10ug,8h,49,11.73,4.23,2674.55,888.43,47.29,10.29
10ug,24h,28,13.29,3.10,2789.75,733.40,49.79,9.84
